# *** Generated by BoomWorks.Org(C) SourceCounter 2.5.5.9 *** 
# *** Author: boomworks@hotmail.com *** 


Folder,File,Type,Lines,Code lines,Code//Comment,Comment lines,Blank lines,Size,Man-Day,Cost,UT Cases,UT Defects,IT Cases,IT Defects
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmGroup.cs,.cs,195,151,37,0,7,8487,0.75,377.50,7.55,1.51,3.02,0.30
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmGroup.Designer.cs,.cs,362,270,86,0,6,18608,1.35,675.00,13.50,2.70,5.40,0.54
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmMain.cs,.cs,1740,1309,366,1,64,87109,6.55,3275.00,65.50,13.10,26.20,2.62
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmMain.Designer.cs,.cs,1114,794,308,0,12,68115,3.97,1985.00,39.70,7.94,15.88,1.59
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmMapReduce.cs,.cs,89,65,20,0,4,3828,0.32,162.50,3.25,0.65,1.30,0.13
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmMapReduce.Designer.cs,.cs,198,142,50,0,6,9802,0.71,355.00,7.10,1.42,2.84,0.28
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmOption.cs,.cs,59,58,1,0,0,3001,0.29,145.00,2.90,0.58,1.16,0.12
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmOption.Designer.cs,.cs,206,155,44,0,7,9663,0.77,387.50,7.75,1.55,3.10,0.31
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmQuery.cs,.cs,220,165,46,0,9,9858,0.82,412.50,8.25,1.65,3.30,0.33
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmQuery.Designer.cs,.cs,163,116,41,0,6,7576,0.58,290.00,5.80,1.16,2.32,0.23
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmReplset.cs,.cs,88,73,14,0,1,4044,0.37,182.50,3.65,0.73,1.46,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmReplset.Designer.cs,.cs,151,106,38,0,7,7034,0.53,265.00,5.30,1.06,2.12,0.21
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmServiceStatus.cs,.cs,155,126,21,0,8,7050,0.63,315.00,6.30,1.26,2.52,0.25
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmServiceStatus.Designer.cs,.cs,202,148,47,0,7,10186,0.74,370.00,7.40,1.48,2.96,0.30
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmShardingConfig.cs,.cs,172,131,39,0,2,7371,0.65,327.50,6.55,1.31,2.62,0.26
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmShardingConfig.Designer.cs,.cs,252,184,62,0,6,12968,0.92,460.00,9.20,1.84,3.68,0.37
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmUser.cs,.cs,64,49,15,0,0,2548,0.25,122.50,2.45,0.49,0.98,0.10
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmUser.Designer.cs,.cs,167,123,38,0,6,8275,0.62,307.50,6.15,1.23,2.46,0.25
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,CloneMeunToolItem.cs,.cs,91,67,24,0,0,4449,0.34,167.50,3.35,0.67,1.34,0.13
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,ConfigHelper.cs,.cs,221,102,118,0,1,7326,0.51,255.00,5.10,1.02,2.04,0.20
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,DataFilter.cs,.cs,149,72,75,0,2,4218,0.36,180.00,3.60,0.72,1.44,0.14
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,GetSystemIcon.cs,.cs,207,144,51,3,9,7963,0.74,367.50,7.35,1.47,2.94,0.29
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongodbDosCommand.cs,.cs,392,203,177,7,5,14389,1.05,525.00,10.50,2.10,4.20,0.42
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Auth.cs,.cs,87,57,26,0,4,3160,0.28,142.50,2.85,0.57,1.14,0.11
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Const.cs,.cs,118,41,73,0,4,3795,0.20,102.50,2.05,0.41,0.82,0.08
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Element.cs,.cs,44,27,15,0,2,1401,0.14,67.50,1.35,0.27,0.54,0.05
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_ImportData.cs,.cs,294,235,41,0,18,11721,1.17,587.50,11.75,2.35,4.70,0.47
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Opration.cs,.cs,405,275,123,0,7,15861,1.38,687.50,13.75,2.75,5.50,0.55
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Query.cs,.cs,235,191,40,0,4,9505,0.95,477.50,9.55,1.91,3.82,0.38
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Replset.cs,.cs,222,132,79,0,11,9150,0.66,330.00,6.60,1.32,2.64,0.26
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Sql.cs,.cs,371,305,45,0,21,15069,1.52,762.50,15.25,3.05,6.10,0.61
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_View.cs,.cs,1463,1185,238,5,35,65372,5.95,2975.00,59.50,11.90,23.80,2.38
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,SystemManager.cs,.cs,150,90,59,0,1,5317,0.45,225.00,4.50,0.90,1.80,0.18
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Properties,AssemblyInfo.cs,.cs,36,15,17,0,4,1450,0.08,37.50,0.75,0.15,0.30,0.03
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Properties,Resources.Designer.cs,.cs,63,32,22,1,8,2858,0.17,82.50,1.65,0.33,0.66,0.07
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Properties,Settings.Designer.cs,.cs,26,12,8,1,5,1097,0.06,32.50,0.65,0.13,0.26,0.03
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlAddBsonEl.cs,.cs,84,83,1,0,0,2680,0.41,207.50,4.15,0.83,1.66,0.17
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlAddBsonEl.Designer.cs,.cs,100,71,23,0,6,4646,0.35,177.50,3.55,0.71,1.42,0.14
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlFieldInfo.cs,.cs,70,69,0,0,1,2621,0.34,172.50,3.45,0.69,1.38,0.14
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlFieldInfo.Designer.cs,.cs,114,79,29,0,6,4653,0.40,197.50,3.95,0.79,1.58,0.16
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlFilePicker.cs,.cs,114,85,24,0,5,3586,0.43,212.50,4.25,0.85,1.70,0.17
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlFilePicker.Designer.cs,.cs,100,68,26,0,6,4166,0.34,170.00,3.40,0.68,1.36,0.14
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlIndexCreate.cs,.cs,31,29,0,0,2,1097,0.14,72.50,1.45,0.29,0.58,0.06
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlIndexCreate.Designer.cs,.cs,109,77,26,0,6,4900,0.38,192.50,3.85,0.77,1.54,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctllogLv.cs,.cs,56,53,0,0,3,1941,0.26,132.50,2.65,0.53,1.06,0.11
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctllogLv.Designer.cs,.cs,75,49,20,0,6,2871,0.25,122.50,2.45,0.49,0.98,0.10
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongod.cs,.cs,90,82,0,0,8,3478,0.41,205.00,4.10,0.82,1.64,0.16
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongod.Designer.cs,.cs,233,177,50,0,6,11075,0.88,442.50,8.85,1.77,3.54,0.35
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongodump.cs,.cs,61,55,0,0,6,2371,0.28,137.50,2.75,0.55,1.10,0.11
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongodump.Designer.cs,.cs,183,133,44,0,6,8178,0.67,332.50,6.65,1.33,2.66,0.27
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongoImportExport.cs,.cs,88,81,0,0,7,3586,0.41,202.50,4.05,0.81,1.62,0.16
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongoImportExport.Designer.cs,.cs,251,186,59,0,6,11635,0.93,465.00,9.30,1.86,3.72,0.37
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlQueryCondition.cs,.cs,132,123,6,0,3,4554,0.62,307.50,6.15,1.23,2.46,0.25
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlQueryCondition.Designer.cs,.cs,114,75,32,0,7,4665,0.38,187.50,3.75,0.75,1.50,0.15


# *** Total ***
# File,69
# Size,637
# Lines,14617,100%
# Code lines,10786,73.8%
# Code//Comment,18,0.1%
# Comment lines,3348,22.9%
# Blank lines,465,3.2%
# Man-Day, 2.70
# Cost, 27010.00
# UT Cases, 540.20
# UT Defects, 108.04
# IT Cases, 216.08
# IT Defects, 21.61
