# *** Generated by BoomWorks.Org(C) SourceCounter 2.5.5.9 *** 
# *** Author: boomworks@hotmail.com *** 


Folder,File,Type,Lines,Code lines,Code//Comment,Comment lines,Blank lines,Size,Man-Day,Cost,UT Cases,UT Defects,IT Cases,IT Defects
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,CloneMeunToolItem.cs,.cs,91,67,24,0,0,4449,0.34,167.50,3.35,0.67,1.34,0.13
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,ConfigHelper.cs,.cs,231,106,124,0,1,7692,0.53,265.00,5.30,1.06,2.12,0.21
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,DataFilter.cs,.cs,164,72,90,0,2,4647,0.36,180.00,3.60,0.72,1.44,0.14
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,GetSystemIcon.cs,.cs,207,144,51,3,9,7963,0.74,367.50,7.35,1.47,2.94,0.29
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongodbDosCommand.cs,.cs,392,203,177,7,5,14389,1.05,525.00,10.50,2.10,4.20,0.42
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Auth.cs,.cs,87,57,26,0,4,3160,0.28,142.50,2.85,0.57,1.14,0.11
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Const.cs,.cs,142,47,91,0,4,4847,0.23,117.50,2.35,0.47,0.94,0.09
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Element.cs,.cs,128,85,40,0,3,5470,0.43,212.50,4.25,0.85,1.70,0.17
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_ImportData.cs,.cs,294,235,41,0,18,11721,1.17,587.50,11.75,2.35,4.70,0.47
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Opration.cs,.cs,405,275,123,0,7,15861,1.38,687.50,13.75,2.75,5.50,0.55
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Query.cs,.cs,217,173,40,0,4,8769,0.87,432.50,8.65,1.73,3.46,0.35
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Replset.cs,.cs,222,132,79,0,11,9150,0.66,330.00,6.60,1.32,2.64,0.26
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_Sql.cs,.cs,380,306,51,0,23,15316,1.53,765.00,15.30,3.06,6.12,0.61
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,MongoDBHelper_View.cs,.cs,1492,1204,244,5,39,66874,6.05,3022.50,60.45,12.09,24.18,2.42
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,SystemManager.cs,.cs,150,90,59,0,1,5321,0.45,225.00,4.50,0.90,1.80,0.18
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Properties,AssemblyInfo.cs,.cs,36,15,17,0,4,1450,0.08,37.50,0.75,0.15,0.30,0.03
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Properties,Resources.Designer.cs,.cs,63,32,22,1,8,2858,0.17,82.50,1.65,0.33,0.66,0.07
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Properties,Settings.Designer.cs,.cs,26,12,8,1,5,1097,0.06,32.50,0.65,0.13,0.26,0.03
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlAddBsonEl.cs,.cs,53,44,9,0,0,1423,0.22,110.00,2.20,0.44,0.88,0.09
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlAddBsonEl.Designer.cs,.cs,91,62,23,0,6,3814,0.31,155.00,3.10,0.62,1.24,0.12
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlBsonValue.cs,.cs,145,136,3,0,6,4893,0.68,340.00,6.80,1.36,2.72,0.27
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlBsonValue.Designer.cs,.cs,145,106,32,0,7,6531,0.53,265.00,5.30,1.06,2.12,0.21
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlFieldInfo.cs,.cs,70,69,0,0,1,2621,0.34,172.50,3.45,0.69,1.38,0.14
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlFieldInfo.Designer.cs,.cs,114,79,29,0,6,4653,0.40,197.50,3.95,0.79,1.58,0.16
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlFilePicker.cs,.cs,130,97,27,0,6,4130,0.49,242.50,4.85,0.97,1.94,0.19
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlFilePicker.Designer.cs,.cs,100,68,26,0,6,4166,0.34,170.00,3.40,0.68,1.36,0.14
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlIndexCreate.cs,.cs,31,29,0,0,2,1097,0.14,72.50,1.45,0.29,0.58,0.06
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlIndexCreate.Designer.cs,.cs,109,77,26,0,6,4900,0.38,192.50,3.85,0.77,1.54,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctllogLv.cs,.cs,65,62,0,0,3,2397,0.31,155.00,3.10,0.62,1.24,0.12
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctllogLv.Designer.cs,.cs,75,49,20,0,6,2871,0.25,122.50,2.45,0.49,0.98,0.10
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongod.cs,.cs,141,90,49,0,2,6353,0.45,225.00,4.50,0.90,1.80,0.18
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongod.Designer.cs,.cs,233,177,50,0,6,11075,0.88,442.50,8.85,1.77,3.54,0.35
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongodump.cs,.cs,63,57,0,0,6,3019,0.28,142.50,2.85,0.57,1.14,0.11
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongodump.Designer.cs,.cs,183,133,44,0,6,8178,0.67,332.50,6.65,1.33,2.66,0.27
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongoImportExport.cs,.cs,95,88,0,0,7,4781,0.44,220.00,4.40,0.88,1.76,0.18
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlMongoImportExport.Designer.cs,.cs,251,186,59,0,6,11635,0.93,465.00,9.30,1.86,3.72,0.37
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlQueryCondition.cs,.cs,81,77,2,0,2,2757,0.38,192.50,3.85,0.77,1.54,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\UserController,ctlQueryCondition.Designer.cs,.cs,103,67,29,0,7,4149,0.34,167.50,3.35,0.67,1.34,0.13


# *** Total ***
# File,74
# Size,671
# Lines,15469,100%
# Code lines,11343,73.3%
# Code//Comment,18,0.1%
# Comment lines,3614,23.4%
# Blank lines,494,3.2%
# Man-Day, 2.84
# Cost, 28402.50
# UT Cases, 568.05
# UT Defects, 113.61
# IT Cases, 227.22
# IT Defects, 22.72
